Source,Number of articles
free219467_wordpress_com.txt,1
albd_org.txt,189
brdb_moulvibazar_gov_bd.txt,24
arindamghosh_wordpress_com.txt,2
www_aptctg_com.txt,1
anothersvoice_blogspot_com.txt,1
www_topbdpost_com.txt,2
parjatan_portal_gov_bd.txt,120
komashisha_com.txt,20
www_neverstoptraveling_com.txt,1
hablaa_com.txt,34
www_gconnect_in.txt,1
dao_kurigram_gov_bd.txt,2
www_eventbrite_ie.txt,2
magsdream_blogspot_kr.txt,2
pms_pwd_gov_bd.txt,89
ratjagapakhi_blogspot_com.txt,75
mdialermoittryahsan_blogspot_com.txt,1
www_universitipts_com.txt,1
sjmb_wordpress_com.txt,2
www_satan_is_faggot_blogspot_com.txt,1
partner_dw_com.txt,2
anandabazar_unicode_appspot_com.txt,1
alokitobangladesh_com.txt,21
www_boesl_org_bd.txt,6
www_examsuggestions_com.txt,3
ivipid_com_incom_pk.txt,2
epz_comilla_gov_bd.txt,2
www_livecasino24_se.txt,1
mohpw_portal_gov_bd.txt,3
www_telcotalkbd_com.txt,1
www_bangladeshnewspaper4all_com.txt,3
ambedkaractions_blogspot_com.txt,2
www_postpoems_org.txt,6
wbbpe_in.txt,45
sopnildj_blogspot_com.txt,5
idealschoolandcollege_com.txt,8
bn_techubs_net.txt,87
bengalstudents_com.txt,3230
mr_wikipedia_org.txt,12
whophone_co_uk.txt,1
updatesolution_blogspot_com_es.txt,1
downloadfreemedicalbooks_blogspot_com.txt,1
eed_khagrachhari_gov_bd.txt,2
antorjatikbangali_wordpress_com.txt,59
molwa_gov_bd.txt,296
www_diykits_com_hk.txt,1
www_thakurmallikhs_edu_bd.txt,7
brur_ac_bd.txt,4
shed_portal_gov_bd.txt,140
aajkerdeshabrati_wordpress_com.txt,17
www_prdream_com.txt,1
acanuckamuck_blogspot_com.txt,1
escapedivision_com.txt,6
www_bssnews_net.txt,66
islamicresearchmission_blogspot_com.txt,78
lged_natore_gov_bd.txt,1
ais_chittagong_gov_bd.txt,2
bpdp_org.txt,2
pobabd_org.txt,3
udd_gov_bd.txt,13
seedsbadc_dinajpur_gov_bd.txt,2
ns_mobile_4umer_com.txt,77
www_naogaontsc_gov_bd.txt,1
tahmidmc_blogspot_com_br.txt,1
www_bdherald_com.txt,4
www_nicstoon_org.txt,1
www_earn_money_onlinebd_com.txt,4
newengland_eidesh_com.txt,6
carnetdeparo_blogspot_com.txt,1
www_xossip_rocks.txt,884
cdbl_com_bd.txt,1
niazmowla_wordpress_com.txt,66
citynews24_net.txt,7
gcmc_pc_com.txt,1
hiractg_blogspot_com.txt,5
ottoswarroom_blogspot_com.txt,1
healthcarereformactbilltext_blogspot_com.txt,15
books_aucklandwhich_org.txt,1
masanam91_blogspot_com.txt,1
news_webplan_in.txt,10
www_munshiganj_gov_bd.txt,6
topxvideo_blogspot_com.txt,58
anjalipublishers_com.txt,1
earthquake_report_com.txt,4
reflectionsonbangladesh_com.txt,2
aurnabarc_blogspot_com.txt,3
search_imesh_com.txt,1
www_engineershelpbd_com.txt,313
kicirmicir_blogspot_com.txt,8
islam14_com.txt,71
finspi_com.txt,1
freemp3_fm.txt,1
www_capstonebd_com.txt,63
www_banglawaz_tk.txt,1
dpe_barisal_gov_bd.txt,2
btcl_habiganj_gov_bd.txt,2
alimurreza_blogspot_com.txt,1
ombudsman_bh.txt,1
www_bigganschool_org.txt,2
www_pre_testbd_com.txt,271
bnfe_narsingdi_gov_bd.txt,1
ugc_gov_bd.txt,10
www_bazar2000_net.txt,6
sporshobanglanews_com.txt,11
mathabhanga_westbengalonline_in.txt,1
www_bafss_edu_bd.txt,93
admin_dsebd_org.txt,4
girlfaps_com.txt,3
banglastory4u_blogspot_com.txt,5
bwdb_feni_gov_bd.txt,2
moedu_portal_gov_bd.txt,664
en_wikipedia_org.txt,725
www_last_fm.txt,5
www_bombingscience_com.txt,1
www_wordsfromsolitude_blogspot_com.txt,4
www_currentnewsblog_com.txt,6711
cepdb_rangpur_gov_bd.txt,2
dpost_jamalpur_gov_bd.txt,2
dwa_adamdighi_bogra_gov_bd.txt,2
www_deshmatrika_com.txt,930
banglagalpo_alamin_blogspot_com.txt,44
www_dyd_gov_bd.txt,26
www_bari_gov_bd.txt,147
de_appszoom_com.txt,55
www_billdoherty_net.txt,1
www_ekikrat_in.txt,2
pagla_net.txt,3
appcart_jobsroulette_andro_io.txt,1
ais_rajshahi_gov_bd.txt,2
dphe_dinajpur_gov_bd.txt,2
vivo_com_br_incom_pk.txt,2
www_nwpgcl_org_bd.txt,11
4po_gdn.txt,2
probashi_gov_bd.txt,378
www_banglafamily_com.txt,22
www_lecturepublications_org.txt,78
soddosongbad_com.txt,2
services_portal_gov_bd.txt,9
futurehealthsys_squarespace_com.txt,2
savings_jamalpur_gov_bd.txt,1
bangla_kurigramblog_com.txt,19
exbii_com.txt,218
dailypython_blogspot_com.txt,1
dls_rajshahidiv_gov_bd.txt,2
thewarmerworld_blogspot_com.txt,3
gundemonline_org.txt,2
www_technobeach_com.txt,3
islaminonesite_wordpress_com.txt,18
fbvids_net.txt,9
arohateacher_blogspot_com.txt,1
bangladesh_worldplaces_me.txt,16
sandwipnews24_com.txt,49
www_storyofbangladesh_com.txt,491
crazy_readers_blogspot_in.txt,5
